[0/10][0/1272]  Loss_D: 1.8932	Loss_G: 6.2211	D(x): 0.6284	D(G(z)): 0.6694 / 0.0035
[3/10][150/1272]	Loss_D: 0.9743	Loss_G: 4.9971	D(x): 0.9386	D(G(z)): 0.5557 / 0.0106
[3/10][200/1272]	Loss_D: 0.5911	Loss_G: 2.8168	D(x): 0.8424	D(G(z)): 0.2959 / 0.0800
[3/10][250/1272]	Loss_D: 1.1810	Loss_G: 0.9676	D(x): 0.4209	D(G(z)): 0.1020 / 0.4438
[3/10][300/1272]	Loss_D: 0.6667	Loss_G: 2.2823	D(x): 0.7249	D(G(z)): 0.2422 / 0.1336
[3/10][350/1272]	Loss_D: 0.4941	Loss_G: 2.1845	D(x): 0.7440	D(G(z)): 0.1429 / 0.1445
[3/10][400/1272]	Loss_D: 1.0974	Loss_G: 5.0988	D(x): 0.9013	D(G(z)): 0.5818 / 0.0103
[3/10][450/1272]	Loss_D: 0.5016	Loss_G: 3.2499	D(x): 0.9214	D(G(z)): 0.3101 / 0.0517
[3/10][500/1272]	Loss_D: 0.4315	Loss_G: 2.5451	D(x): 0.8611	D(G(z)): 0.2196 / 0.1000
[3/10][550/1272]	Loss_D: 0.7622	Loss_G: 1.6282	D(x): 0.5600	D(G(z)): 0.0715 / 0.2627
[3/10][600/1272]	Loss_D: 0.4462	Loss_G: 3.3137	D(x): 0.8922	D(G(z)): 0.2580 / 0.0499
[3/10][650/1272]	Loss_D: 0.6347	Loss_G: 2.0351	D(x): 0.6114	D(G(z)): 0.0541 / 0.1600
[3/10][700/1272]	Loss_D: 0.4240	Loss_G: 2.6606	D(x): 0.7538	D(G(z)): 0.1048 / 0.0999
[3/10][750/1272]	Loss_D: 0.5475	Loss_G: 2.3015	D(x): 0.6881	D(G(z)): 0.1154 / 0.1312
[3/10][800/1272]	Loss_D: 1.4922	Loss_G: 0.9267	D(x): 0.3267	D(G(z)): 0.1244 / 0.4661
[3/10][850/1272]	Loss_D: 0.8889	Loss_G: 4.2785	D(x): 0.9285	D(G(z)): 0.5012 / 0.0180
