Length of men_no_glasses_loader: 2312
Length of men with glasses loader: 328
Length of women with glasses loader: 85
Finished initialising datasets and dataloaders
Epoch [191/300], Loss_G: 2.903794527053833, Loss_D: 0.0003901225863955915
Epoch [192/300], Loss_G: 2.911853313446045, Loss_D: 0.004165264777839184
Epoch [193/300], Loss_G: 2.8913779258728027, Loss_D: 0.00045042193960398436
Epoch [194/300], Loss_G: 2.86163330078125, Loss_D: 0.0020970776677131653
Epoch [195/300], Loss_G: 2.9402294158935547, Loss_D: 0.0013824220513924956
Epoch [196/300], Loss_G: 2.9207398891448975, Loss_D: 0.0010513339657336473
Epoch [197/300], Loss_G: 2.8848977088928223, Loss_D: 0.0005874406197108328
Epoch [198/300], Loss_G: 2.862647533416748, Loss_D: 0.0006150739500299096
Epoch [199/300], Loss_G: 2.9008212089538574, Loss_D: 9.689807484392077e-05
Epoch [200/300], Loss_G: 2.8486998081207275, Loss_D: 0.00030887004686519504
Epoch [201/300], Loss_G: 2.892953634262085, Loss_D: 0.00011496103252284229
Epoch [202/300], Loss_G: 2.8620431423187256, Loss_D: 0.00011450084275566041
Epoch [203/300], Loss_G: 2.870779037475586, Loss_D: 0.00012407134636305273
Epoch [204/300], Loss_G: 2.896559715270996, Loss_D: 0.0016501983627676964
Epoch [205/300], Loss_G: 2.881687641143799, Loss_D: 0.00010327492782380432
Epoch [206/300], Loss_G: 2.870666027069092, Loss_D: 0.009979192167520523
Epoch [207/300], Loss_G: 2.842038869857788, Loss_D: 0.0009669373393990099
Epoch [208/300], Loss_G: 2.8549413681030273, Loss_D: 0.0001233072835020721
Epoch [209/300], Loss_G: 2.922605276107788, Loss_D: 0.00023292498372029513
Epoch [210/300], Loss_G: 2.758338451385498, Loss_D: 0.0011917996453121305
Epoch [211/300], Loss_G: 3.33481502532959, Loss_D: 0.2554273009300232
Epoch [212/300], Loss_G: 2.820107936859131, Loss_D: 0.0007308751228265464
Epoch [213/300], Loss_G: 2.9643492698669434, Loss_D: 0.007640677969902754
Epoch [214/300], Loss_G: 2.886125087738037, Loss_D: 0.0004889971460215747
Epoch [215/300], Loss_G: 2.8521580696105957, Loss_D: 0.00062388158403337
Epoch [216/300], Loss_G: 2.9160447120666504, Loss_D: 0.00012963238987140357
Epoch [217/300], Loss_G: 2.929783344268799, Loss_D: 0.006608505733311176
Epoch [218/300], Loss_G: 2.8495218753814697, Loss_D: 0.0013621087418869138
Epoch [219/300], Loss_G: 2.925144910812378, Loss_D: 0.0016011581756174564
Epoch [220/300], Loss_G: 2.8682003021240234, Loss_D: 0.00043435709085315466
Epoch [221/300], Loss_G: 2.827578067779541, Loss_D: 5.050547406426631e-05
Epoch [222/300], Loss_G: 2.938542366027832, Loss_D: 0.0001674194645602256
Epoch [223/300], Loss_G: 2.833550453186035, Loss_D: 0.0011793472804129124
Epoch [224/300], Loss_G: 2.787403106689453, Loss_D: 0.005966719705611467
Epoch [225/300], Loss_G: 2.8643007278442383, Loss_D: 7.668179023312405e-05
Epoch [226/300], Loss_G: 2.771601676940918, Loss_D: 0.002910157898440957
Epoch [227/300], Loss_G: 2.907374620437622, Loss_D: 0.0004843194328714162
Epoch [228/300], Loss_G: 2.8951406478881836, Loss_D: 0.0011844414984807372
Epoch [229/300], Loss_G: 2.8169045448303223, Loss_D: 7.067718252073973e-05
Epoch [230/300], Loss_G: 2.8969132900238037, Loss_D: 0.0018837819807231426
Epoch [231/300], Loss_G: 2.943676233291626, Loss_D: 0.005189601331949234
Epoch [232/300], Loss_G: 2.790938377380371, Loss_D: 0.0025001135654747486
Epoch [233/300], Loss_G: 2.7179670333862305, Loss_D: 0.003692073980346322
Epoch [234/300], Loss_G: 2.878704071044922, Loss_D: 0.0004863644717261195
Epoch [235/300], Loss_G: 2.7242720127105713, Loss_D: 0.012942575849592686
Epoch [236/300], Loss_G: 2.8798599243164062, Loss_D: 8.190023072529584e-05
Epoch [237/300], Loss_G: 2.896480083465576, Loss_D: 0.0003751856565941125
Epoch [238/300], Loss_G: 2.8509504795074463, Loss_D: 0.0004523789684753865
Epoch [239/300], Loss_G: 2.7645535469055176, Loss_D: 0.0004837612505070865
Epoch [240/300], Loss_G: 2.874093532562256, Loss_D: 0.0008635473204776645
Epoch [241/300], Loss_G: 2.846661329269409, Loss_D: 0.00011094151705037802
Epoch [242/300], Loss_G: 2.801729679107666, Loss_D: 0.0003017715353053063
Epoch [243/300], Loss_G: 2.844306230545044, Loss_D: 0.00032289710361510515
Epoch [244/300], Loss_G: 2.836413860321045, Loss_D: 0.00014948339958209544
Epoch [245/300], Loss_G: 2.9400219917297363, Loss_D: 0.0015384724829345942
Epoch [246/300], Loss_G: 2.8009541034698486, Loss_D: 0.000925080559682101
Epoch [247/300], Loss_G: 2.6911840438842773, Loss_D: 0.014284190721809864
Epoch [248/300], Loss_G: 2.9070382118225098, Loss_D: 0.00010803779878187925
Epoch [249/300], Loss_G: 2.843067169189453, Loss_D: 6.043253233656287e-05
Epoch [250/300], Loss_G: 2.8820314407348633, Loss_D: 0.00039613977423869073
Epoch [251/300], Loss_G: 2.816506862640381, Loss_D: 9.965251956600696e-05
Epoch [252/300], Loss_G: 2.8654496669769287, Loss_D: 0.0015759423840790987
Epoch [253/300], Loss_G: 2.844059944152832, Loss_D: 0.0011609202483668923
Epoch [254/300], Loss_G: 2.7283120155334473, Loss_D: 0.016850173473358154
Epoch [255/300], Loss_G: 2.8059654235839844, Loss_D: 0.006485470104962587
Epoch [256/300], Loss_G: 2.717944383621216, Loss_D: 0.004215800203382969
Epoch [257/300], Loss_G: 2.8694143295288086, Loss_D: 7.250827911775559e-05
Epoch [258/300], Loss_G: 2.800788402557373, Loss_D: 0.00020518747624009848
Epoch [259/300], Loss_G: 2.7521088123321533, Loss_D: 0.000849016651045531
Epoch [260/300], Loss_G: 2.8645381927490234, Loss_D: 0.0030028263572603464
