Training with latent size: 2
Mean: 0.04200533777475357, Log Var: -1.1892571449279785
Mean: 0.037614550441503525, Log Var: -1.1700000762939453
Mean: 0.008358868770301342, Log Var: -1.160340666770935
Mean: 0.005159417167305946, Log Var: -1.185244083404541
Mean: 0.014277590438723564, Log Var: -1.1833102703094482
Mean: 0.015347115695476532, Log Var: -1.1665751934051514
Mean: 0.005819359794259071, Log Var: -1.1927841901779175
Mean: 0.013704516924917698, Log Var: -1.1899607181549072
Mean: 0.014549532905220985, Log Var: -1.174523115158081
Mean: 0.013838402926921844, Log Var: -1.167593240737915
Mean: 0.024521779268980026, Log Var: -1.1615781784057617
Mean: -0.002271057339385152, Log Var: -1.1700003147125244
Mean: 0.010081849992275238, Log Var: -1.184041142463684
Mean: 0.015607571229338646, Log Var: -1.2000516653060913
Mean: 0.014453823678195477, Log Var: -1.161043643951416
Mean: 0.017123306170105934, Log Var: -1.1607203483581543
Mean: 0.016521086916327477, Log Var: -1.1716997623443604
Mean: 0.02265988476574421, Log Var: -1.185787558555603
Mean: 0.028328225016593933, Log Var: -1.1941742897033691
Mean: -0.004575064871460199, Log Var: -1.1914678812026978
Mean: 0.0026857948396354914, Log Var: -1.1829185485839844
Mean: -0.00022566734696738422, Log Var: -1.167270302772522
Mean: 0.022838542237877846, Log Var: -1.1749438047409058
Mean: 0.0071692452766001225, Log Var: -1.1907414197921753
Mean: 0.007942608557641506, Log Var: -1.175394892692566
Mean: -0.0011767889373004436, Log Var: -1.1877291202545166
Mean: 0.0066920081153512, Log Var: -1.1639622449874878
Mean: 0.006040929351001978, Log Var: -1.203150749206543
Mean: 0.00729365274310112, Log Var: -1.1585395336151123
Mean: 0.015029623173177242, Log Var: -1.1809152364730835
Mean: 0.03782840818166733, Log Var: -1.2066330909729004
Mean: 0.01628122664988041, Log Var: -1.1872668266296387
Mean: 0.005627600476145744, Log Var: -1.1555854082107544
Mean: 0.0005292767309583724, Log Var: -1.1561177968978882
Mean: 0.017795413732528687, Log Var: -1.1979215145111084
Mean: 0.00789472833275795, Log Var: -1.1857389211654663
Mean: -0.003023757366463542, Log Var: -1.198919653892517
Mean: 0.0076778423972427845, Log Var: -1.1828501224517822
Mean: 0.007943859323859215, Log Var: -1.1713231801986694
Mean: 0.00763428071513772, Log Var: -1.1706719398498535
Mean: 0.015378264710307121, Log Var: -1.1838715076446533
Mean: 0.023287681862711906, Log Var: -1.1569808721542358
Mean: -0.01883290335536003, Log Var: -1.165334701538086
Mean: 0.01658894307911396, Log Var: -1.1913217306137085
Mean: 0.035208553075790405, Log Var: -1.192505121231079
Mean: 0.0011651101522147655, Log Var: -1.1931953430175781
Mean: 0.014057334512472153, Log Var: -1.201572060585022
Mean: -0.0011627125786617398, Log Var: -1.2066651582717896
Mean: -0.010427284054458141, Log Var: -1.1865565776824951
Mean: 0.021662501618266106, Log Var: -1.1872189044952393
Mean: -0.0009466862538829446, Log Var: -1.2095797061920166
Mean: -0.026038799434900284, Log Var: -1.2273194789886475
Mean: -0.009606335312128067, Log Var: -1.2636131048202515
Mean: 0.02160390093922615, Log Var: -1.260819673538208
Mean: 0.0032945210114121437, Log Var: -1.2043391466140747
Mean: 0.004678173456341028, Log Var: -1.211366057395935
Mean: -0.017929909750819206, Log Var: -1.1949093341827393
Mean: 0.01091752015054226, Log Var: -1.1625747680664062
Mean: 0.03110537864267826, Log Var: -1.1414134502410889
Mean: -0.021500935778021812, Log Var: -1.2171002626419067
Mean: 0.013529152609407902, Log Var: -1.194096326828003
Mean: -0.03571270778775215, Log Var: -1.1611112356185913
Mean: -0.023109303787350655, Log Var: -1.1626474857330322
Mean: 0.0121115418151021, Log Var: -1.162688970565796
Mean: -0.002153396373614669, Log Var: -1.177703619003296
Mean: -0.042584870010614395, Log Var: -1.1881057024002075
Mean: 0.044652145355939865, Log Var: -1.1718729734420776
Mean: -0.03645683452486992, Log Var: -1.1765578985214233
Mean: 0.02147611603140831, Log Var: -1.173699140548706
Mean: -0.008230134844779968, Log Var: -1.2373223304748535
Mean: -0.05563100799918175, Log Var: -1.2399506568908691
Mean: -0.0339474081993103, Log Var: -1.2348965406417847
Mean: -0.03712841868400574, Log Var: -1.229966402053833
Mean: 0.0250763650983572, Log Var: -1.208760142326355
Mean: 0.013975454494357109, Log Var: -1.2170541286468506
Mean: -0.0007909738924354315, Log Var: -1.2092417478561401
Mean: -0.007799598854035139, Log Var: -1.2345774173736572
Mean: -0.007541237864643335, Log Var: -1.2096456289291382
Mean: 0.022824034094810486, Log Var: -1.185474157333374
Mean: 0.008212911896407604, Log Var: -1.1944167613983154
Mean: -0.0014282220508903265, Log Var: -1.1943438053131104
Mean: 0.02435937337577343, Log Var: -1.1792449951171875
Mean: 0.022475875914096832, Log Var: -1.224934697151184
